"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3034","datasheets/Keystone_3034.pdf","000_LOCAL:Keystone_3028_3034","1","","Keystone 3034","SMT 20mm x 3.2mm coin cell holder"
"C1","220u10v","datasheets/TAJ.odf","000_LOCAL:CP_6032","1","","TAJC227K010RNJ","CAP TANT 220UF 10% 10V 2312"
"C2,C3,C4,C5","1u","datasheets/CL21B105KAFNNNE.pdf","000_LOCAL:C_0805","4","","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805"
"DA1","BAS70DW-05","datasheets/BAS70.pdf","000_LOCAL:SOT-363_SC-70-6_symmetric","1","","BAS70DW-05-7-F","DIODE ARR SCHOTT 70V 70MA SOT363 2-PAIR COMMON-CATHODE"
"J1","Conn_02x20_Odd_Even","datasheets/2x20_male_boxed.pdf","000_LOCAL:IDC-Header_2x20_P2.54mm_Vertical","1","","302-S401","CONN HEADER VERT 40POS 2.54MM"
"R1","1k","datasheets/RK73.pdf","000_LOCAL:R_0805","1","","RK73B2ATTD102J","RES 1K OHM 5% 1/4W 0805"
"R2","47k","datasheets/sei-rmcf_rmcp.pdf","000_LOCAL:R_0805","1","","RMCF0805FT47K0","RES 47K OHM 1% 1/8W 0805"
"U1,U2,U3","HC161","datasheets/HC161.pdf","000_LOCAL:TSSOP-16","3","","74HC161PW,118","IC BINARY COUNTER 4-BIT 16TSSOP"
"U4","HC138","datasheets/HC138.pdf","000_LOCAL:TSSOP-16","1","","74HC138PW,118","IC DECODER/DEMUX 1X3:8 16TSSOP"
"U5","HC574","datasheets/HC574.pdf","000_LOCAL:TSSOP-20","1","","74HC574PW,118","IC FF D-TYPE SNGL 8BIT 20TSSOP"
"U6","AS6C4008","datasheets/AS6C4008.pdf","000_LOCAL:TSOP32-dual","1","","AS6C4008-55STIN","IC SRAM 512Kx8 PARALLEL STSOP-32"
"U7","1G32","datasheets/LVC1G32.pdf","000_LOCAL:SOT-353_SC-70-5","1","","74LVC1G32GW,125","IC GATE OR 1CH 2-INP 5TSSOP"
"U8","1G79","datasheets/LVC1G79.pdf","000_LOCAL:SOT-353_SC-70-5","1","","74LVC1G79GW,125","IC FF D-TYPE SNGL 1BIT 5TSSOP"
