"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"BT1","Keystone_3034","datasheets/Keystone_3034.pdf","000_LOCAL:Keystone_3028_3034","1","","Keystone 3034"
"C1","220u10v","datasheets/TAJ.odf","000_LOCAL:CP_6032","1","","TAJC227K010RNJ"
"C2,C3,C4,C5","1u","~","000_LOCAL:C_0805","4","","CL21B105KPFNNNE"
"DA1","BAS70DW-05","datasheets/BAS70.pdf","000_LOCAL:SOT-363_SC-70-6_symmetric","1","","BAS70DW-05-7-F"
"J1","Conn_02x20_Odd_Even","datasheets/2x20_male_boxed.pdf","000_LOCAL:IDC-Header_2x20_P2.54mm_Vertical","1","","302-S401"
"R1","1k","~","000_LOCAL:R_0805","1","","RK73B2ATTD102J"
"R2,R3","47k","~","000_LOCAL:R_0805","2","","RMCF0805FT47K0"
"U1,U2,U3","HC161","datasheets/74xx161.pdf","000_LOCAL:TSSOP-16","3","","SN74HC161PWR"
"U4","HC138","datasheets/74xx138.pdf","000_LOCAL:TSSOP-16","1","","SN74HC138PWR"
"U5","FCT821","datasheets/CY74FCT821T.pdf","000_LOCAL:SOIC-24","1","","CY74FCT821BTSOC"
"U6","AS6C4008","datasheets/AS6C4008.pdf","000_LOCAL:TSOP-II-SOP-32_dual","1","","AS6C4008-55ZIN or AS6C4008-55SIN"
"U7","1G32","datasheets/74xx1G32.pdf","000_LOCAL:SOT-353_SC-70-5","1","","74LVC1G32GW,125"
